Row Labels,Ward/Project Number,Project Name,SubProject Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,ACH000016-69,Major Maintenance ,Neilson Park-FY,0,0,0,0,0,330,200,0,0,0
,FAC906393-89,Re-roofing,2 Civic Centre-Replacement Of Roofing,0,0,0,0,0,0,0,500,0,0
,FAC906393-97,Re-roofing,390 The West Mall-Roof Replacement,0,0,0,314,0,0,0,0,0,0
,FAC906394-153,Structural/Building Envelope,"399 The West Mall-Repl Slnts, Rehab Service tunnel",0,0,160,"1,467",0,0,0,0,0,0
,FAC906394-154,Structural/Building Envelope,399 The West Mall-Repl Guards & Railings,0,0,0,0,0,194,626,0,0,0
,FAC906394-17,Structural/Building Envelope,399 The West Mall-Window Replacement,0,0,0,420,"1,059","2,269",0,0,0,0
,FAC906394-271,Structural/Building Envelope,"2 Civic Centre-Rpl Windows,Entrance Door",0,0,0,115,450,926,0,0,0,0
,FAC906395-128,Mechanical and Electrical,"2 Civic Centre-Rpl Heater, Compressor",0,0,0,182,"1,501",367,0,0,0,0
,FAC906395-241,Mechanical and Electrical,"399 West Mall-Rpl Chiller,Chilled Water Pump",0,0,0,0,0,80,767,0,0,0
,FAC906395-269,Mechanical and Electrical,"2 Civic Centre-Rpl Int.Lghtg, Ceiling Tiles",0,0,0,0,0,63,222,440,0,0
,FAC906395-275,Mechanical and Electrical,390 The West Mall - Trasformer ,0,75,853,0,0,0,0,0,0,0
,FAC906395-282,Mechanical and Electrical,390 The West Mall-Rpl of Chiller,0,0,0,0,0,0,0,109,"1,122",0
,FAC906395-291,Mechanical and Electrical,399 The West Mall-Rpl of Main Switchboard,0,0,0,"1,099",405,0,0,0,0,0
,FAC906395-292,Mechanical and Electrical,399 The West Mall- North Block Main Swtchbrd,0,0,0,65,696,0,0,0,0,0
,FAC906395-321,Mechanical and Electrical,399 The West Mall-Perimeter& Int Zones AHU ,0,0,43,"1,311",0,0,0,0,0,0
,FAC906395-357,Mechanical and Electrical,399 The West Mall-Rpl Multizone Unit,0,118,"1,065",0,0,0,0,0,0,0
,FAC906395-359,Mechanical and Electrical,399 The West Mall-Int Lighting Systems,0,0,0,0,0,163,499,"1,019",0,0
,FAC906395-411,Mechanical and Electrical,390 The West Mall-Rpl Int & Ext Lighting ,0,0,0,195,703,0,0,0,0,0
,FAC906395-412,Mechanical and Electrical,"2 Civic Centre-Rpl Main Swtchbrd,MCC,FAlarm",0,433,583,591,0,0,0,0,0,0
,FAC906395-413,Mechanical and Electrical,390 The West Mall-Refriger Chiller System,0,86,783,0,0,0,0,0,0,0
,FAC906395-571,Mechanical and Electrical,399 The West Mall-Repl A/C #1 & 2,0,0,0,0,0,0,0,68,678,0
,FAC906395-621,Mechanical and Electrical,2 Civic Centre-Elevator Cab Finishes Upgrade,0,0,0,0,0,0,0,122,"1,241",0
,FAC906396-58,Sitework,666 Renforth Dr-Asphalt Pavement Replace,5,74,0,0,0,0,0,0,0,0
,FAC906396-62,Sitework,2 Civic Centre-Rpl Asphalt Paving,0,0,0,0,0,596,"1,019",474,0,0
,FAC906396-67,Sitework,"399 The West Mall-Concrete Sidewalks, Curbs",0,0,0,0,0,181,828,851,0,0
,FAC906396-70,Sitework,390 The West Mall-Asphalt Pavement,0,0,0,0,0,0,0,394,0,0
,FAC906397-107,Renovations,"2 Civic Centre-Rpl Stairwell Rails, Ceiling Tiles",0,0,0,0,0,130,"1,217",0,0,0
,FAC906397-112,Renovations,399 The West Mall-Rpl Carpeting Ceiling Tiles,0,0,0,0,0,0,"1,265","1,366",444,0
,FAC906397-220,Renovations,399 The West Mall-Renovate Washrooms,0,0,0,0,0,0,0,143,"2,626",0
,TRN000183-7,Cycling Infrastructure,"Centennial Pk(E) Path Dev throughout  (TBP) W14,15",0,0,50,600,0,0,0,0,0,0
,PKS000017-738,Park Development,Ward 3 Park Improvements ,160,0,0,0,0,0,0,0,0,0
,Etobicoke Centre-03 Total,,,165,786,"3,537","6,359","4,814","5,299","6,643","5,486","6,111",0
4,Etobicoke Centre-04,,,,,,,,,,,,
,ACH000012-144,Restoration/Preservation of Heritage Elements,Montgomery's Inn Restoration-2013,100,0,0,0,0,0,0,0,0,0
,ACH000012-94,Restoration/Preservation of Heritage Elements,Montgomery's Inn Tea Room - FY,0,150,0,0,0,0,0,0,0,0
,ACH000013-18,Refurbishment and Rehabilitation,Montgomery's Inn Interiors - FY,0,147,105,0,0,0,0,0,0,0
,ACH000012-156,Restoration/Preservation of Heritage Elements,Montgomery's Inn Restoration-2014,182,174,0,0,0,0,0,0,0,0
,PKS000019-297,Playgrounds/Waterplay,Martin Grove Gardens Park Waterplay - S42,550,0,0,0,0,0,0,0,0,0
,PKS023   -300,Community Centres,Edenbridge CC - Design ,50,0,0,0,0,0,0,0,0,0
,PKS023   -301,Community Centres,Edenbridge CC - Construction - S37,0,350,0,0,0,0,0,0,0,0
,ACH000012-154,Restoration/Preservation of Heritage Elements,Montgomery's Inn Tea Room-2014,0,50,0,0,0,0,0,0,0,0
,Etobicoke Centre-04 Total,,,882,871,105,0,0,0,0,0,0,0
5,Etobicoke Lakeshore-05,,,,,,,,,,,,
,FAC906393-44,Re-roofing,320 Bering-Rpl Rooftop Unit,0,0,0,0,0,0,17,88,0,0
,FAC906394-276,Structural/Building Envelope,146 The East Mall - Various Structural Repairs,640,0,0,0,0,0,0,0,0,0
,FAC906395-399,Mechanical and Electrical,146 The East Mall-Incinerator Replace,0,0,0,0,83,907,0,0,0,0
,FAC906396-72,Sitework,"308 Prince Edward-Crawlspace Ventilation,Drain and",113,0,0,0,0,0,0,0,0,0
,FAC906397-141,Renovations,146 The East Mall-Various Projects,0,0,0,0,0,0,0,37,694,0
,PKS000017-631,Park Development,Queensland Park Improvements - S37 / S42,55,0,0,0,0,0,0,0,0,0
,PKS000017-634,Park Development,Ward 5 Pk Improvements - S37,60,0,0,0,0,0,0,0,0,0
,PKS000017-636,Park Development,East Mall Park Improvements Construction - S42,700,0,0,0,0,0,0,0,0,0
,PKS000017-721,Park Development,Queensway Park Improvements - Donations/S42,280,0,0,0,0,0,0,0,0,0
,PKS000017-722,Park Development,Ward 5 Park Improvements - S42,220,0,0,0,0,0,0,0,0,0
,FAC906395-884,Mechanical and Electrical,330 BERING AVE-Rep.Rooftop HVAC Units,0,0,0,0,0,8,65,0,0,0
,FAC906393-114,Re-roofing,330 BERING AVE-Main roof replacement,0,0,0,0,0,0,0,0,9,134
,FAC906395-915,Mechanical and Electrical,146 The East Mall-HVAC System for Dog Kennel Area,19,145,0,0,0,0,0,0,0,0
,FAC906395-882,Mechanical and Electrical,320 BERING AVE-Air Make-up Units # 1 and 2,0,0,0,0,0,0,13,145,0,0
,ACH000010-77,Cultural Infrastructure Development,Public Art Development Dundas-Islington,230,210,0,0,0,0,0,0,0,0
,PKS000017-723,Park Development,Sunnylea Park Improvements - S42,300,0,0,0,0,0,0,0,0,0
,FAC906397-285,Renovations,4219 Dundas Street W - Various Projects,0,0,0,0,0,0,0,0,0,71
,Etobicoke Lakeshore-05 Total,,,"2,617",355,0,0,83,915,95,270,703,205
6,Etobicoke Lakeshore-06,,,,,,,,,,,,
,FAC906393-68,Re-roofing,799 Islington Ave - Roofing Membrane,739,0,0,0,0,0,0,0,0,0
,FAC906394-158,Structural/Building Envelope,"259 Horner Ave-Rpl Windows,Doors,RenoWashrooms",6,162,0,0,0,0,0,0,0,0
,FAC906394-222,Structural/Building Envelope,259 Horner Ave-RPL Garage Sys Membrane,0,0,0,6,42,0,0,0,0,0
,FAC906395-591,Mechanical and Electrical,130 Eight St-Various Mechanical Projects,0,0,0,27,0,253,0,0,0,0
,FAC906397-143,Renovations,259 Horner-Renovations Mech Sitework,0,0,0,0,0,0,35,277,0,0
,PKS000016-146,Outdoor Recreation Centres,Don Russell Park Baseball Facility^,0,25,725,0,0,0,0,0,0,0
,PKS000017-29,Park Development,Colonel Samuel Smith Site Development^,50,50,500,0,0,0,0,0,0,0
,PKS000017-341,Park Development,Sand Beach Road ^,0,0,0,102,0,0,0,0,0,0
,PKS000021-195,Arena,Col.Sam Smith Powerhouse 2nd Floor - S37,425,0,0,0,0,0,0,0,0,0
,PKS000022-225,Trails & Pathways,Etobicoke Creek Trail Improvements - S37,358,0,0,0,0,0,0,0,0,0
,TRN000183-9,Cycling Infrastructure,Etobicoke Valley Pk: Trail Ext. 9,0,0,50,400,0,0,0,0,0,0
,TRN907838-1,Legion Road Extension & Grade Separation,Legion Road Extension Grade Separation,0,0,0,0,0,0,"15,000","15,000","15,000",0
,LIB907950-1,Mimico Renovation,Mimico Renovation,0,0,0,0,0,0,161,0,0,420
,PKS000017-740,Park Development,Grand Manitoba FY2014,175,0,0,0,0,0,0,0,0,0
,PKS000022-253,Trails & Pathways,Humber Bay Shores Park Construction - PF&R/Transp,0,550,0,0,0,0,0,0,0,0
,PKS000019-303,Playgrounds/Waterplay,Birch Park Improvements,50,0,0,0,0,0,0,0,0,0
,FAC906397-279,Renovations,"185 Fifth St-1st & 3rd Floor Interior Finishes,Roo",0,0,0,0,0,0,0,0,0,123
,PKS000019-291,Playgrounds/Waterplay,Laburnham Park Playground - S37,150,0,0,0,0,0,0,0,0,0
,PKS000022-252,Trails & Pathways,Humber Bay Shores Park - Design,100,0,0,0,0,0,0,0,0,0
,PKS000017-668,Park Development,Amos Waites Park Improvements - S42,35,0,0,0,0,0,0,0,0,0
,FAC906397-278,Renovations,185 Fifth Street - Various Projects,0,0,0,0,0,0,0,0,0,112
,FAC906397-277,Renovations,185 Fifth St - Various Projects,0,0,0,0,0,0,0,0,0,48
,Etobicoke Lakeshore-06 Total,,,"2,088",787,"1,275",535,42,253,"15,196","15,277","15,000",703
7,York West-07,,,,,,,,,,,,
,FAC906395-244,Mechanical and Electrical,2753 Jane-Replace Gas-Fire Roof Top Units,0,0,0,63,0,0,0,0,0,0
,PKS000017-653,Park Development,Apted Park Design - S37,50,0,0,0,0,0,0,0,0,0
,PKS000017-654,Park Development,Apted Park Construction - S45,0,700,0,0,0,0,0,0,0,0
,PKS023   -286,Community Centres,Western North York New CC (RFR#5) Design ,0,0,0,0,0,160,0,0,0,0
,PKS023   -287,Community Centres,Western North York New CC (RFR#5) Construction ,0,0,0,0,0,0,0,0,"3,160",0
,FAC906395-904,Mechanical and Electrical, 61 Toryork- Carbon Monoxide Detection,0,0,0,0,0,9,86,0,0,0
,FAC906394-336,Structural/Building Envelope,49 Toryork Drive-Wood roof framing rehabilitation,0,0,0,0,0,0,0,0,12,103
,York West-07 Total,,,50,700,0,63,0,169,86,0,"3,172",103
8,York West-08,,,,,,,,,,,,
,FAC906394-95,Structural/Building Envelope,1026 Finch W- Install F Alarm Sys Bldg A,0,40,505,0,0,0,0,0,0,0
,FAC906395-104,Mechanical and Electrical,4330 Dufferin -Cooling Tower CT-1 ,0,0,0,0,60,186,390,0,0,0
,FAC906395-116,Mechanical and Electrical,4330 Dufferin St - Main Fire Alarm Control Panel,0,0,0,74,798,0,0,0,0,0
,FAC906395-527,Mechanical and Electrical,1026 Finch W-Rpl Tailpipe Exh Fans EF,0,0,0,0,0,0,0,0,0,5
,FAC906396-73,Sitework,1300 Sheppard W-Various Projects,0,0,0,0,0,0,0,11,345,0
,FAC906397-16,Renovations,1300 Sheppard Ave-Interior Repainting & Various Ar,242,60,0,0,0,0,0,0,0,0
,TRC000195-6,BLACK CREEK PIONEER VILLAGE RETROFIT,Retrofit Activities for 2009+,300,300,300,300,300,0,0,0,0,0
,TRC000195-7,BLACK CREEK PIONEER VILLAGE RETROFIT,Visitor Centre Active 2009+,50,50,50,50,50,0,0,0,0,0
,FAC906396-142,Sitework,"40 Norfinch Dr - Pavement, Sidwalks & Curbs",0,0,0,0,0,0,0,0,0,39
,FAC906395-890,Mechanical and Electrical,4330 Dufferin St - Various Projects,0,0,0,0,0,0,0,0,0,325
,FAC906395-888,Mechanical and Electrical,4330 Dufferin Str - Various Projects - Mech.2,0,0,0,0,0,0,0,0,0,186
,FAC906394-335,Structural/Building Envelope,4330 Dufferin Street Site - Various Projects - Arc,0,0,0,0,0,0,0,0,0,82
,FAC906395-889,Mechanical and Electrical,4330 Dufferin St - Various Projects - Electrical 1,0,0,0,0,0,0,0,0,0,42
,FAC906395-892,Mechanical and Electrical,4330 Dufferin St -Various Projects - Mech.1,0,0,0,0,0,0,0,0,0,149
,FAC906395-891,Mechanical and Electrical,4330 Dufferin St - Various Projects - Mechanical 1,0,0,0,0,0,0,0,0,0,26
,FAC906396-136,Sitework,1300 Sheppard W -SiteWork Interior Finishes Mech S,0,0,0,0,0,0,0,0,0,42
,FAC906395-865,Mechanical and Electrical,1300 Sheppard Ave. W - Replacement of Power Distri,0,0,0,0,0,0,0,0,0,6
,York West-08 Total,,,592,450,855,424,"1,208",186,390,11,345,902
9,York Centre-09,,,,,,,,,,,,
,AMB907827-1,North West District - Multi-Function Station,NW District Multi-Function (FACILITY),0,"1,800",0,0,0,0,0,0,0,0
,FAC906393-3,Re-roofing,20 Beffort-Replace Roofing Systems,6,152,0,0,0,0,0,0,0,0
,FAC906395-259,Mechanical and Electrical,20 Beffort-Upgrade Office Area Power,0,0,0,0,5,19,0,0,0,0
,FAC906396-88,Sitework,20 Beffort Rd-RPL Water Heater & Asphalt,0,0,0,10,502,0,0,0,0,0
,FIR000117-2,Station B(Stn 144)-Keele St betw Sheppard/Wilson),Station B (Stn 144)-Keele St. betw Sheppard/Wilson,0,"2,000","3,099",0,0,0,0,0,0,0
,PKS000019-226,Playgrounds/Waterplay,Belmar Park - New Splash Pad^,450,0,0,0,0,0,0,0,0,0
,PKS000017-676,Park Development,Anthony Road Park Improvements - S37/S42,450,0,0,0,0,0,0,0,0,0
,York Centre-09 Total,,,906,"3,952","3,099",10,507,19,0,0,0,0
10,York Centr-10,,,,,,,,,,,,
,ACH000012-141,Restoration/Preservation of Heritage Elements,John Bales House - FY,0,100,0,0,0,0,100,400,400,200
,FAC906395-149,Mechanical and Electrical,5700 Bathurst St-Repl Gas-fired Roof Top Units,0,0,0,180,0,0,0,0,0,0
,FAC906395-230,Mechanical and Electrical,5700 Bathurst St-Replace Five Roof Exhaust Fans,0,0,0,27,0,0,0,0,0,0
,FAC906397-207,Renovations,1009 Sheppard-Renovate Kitchen,0,2,43,0,0,0,0,0,0,0
,LIB907894-1,Centennial Renovation,Centennial Renovation,0,0,0,0,0,0,59,0,157,0
,LIB907894-2,Centennial Renovation,Centennial Expansion,0,0,0,0,0,0,32,195,893,646
,PKS000016-328,Outdoor Recreation Centres,Earl Bales Fieldhouse Upgrade & Expansion,0,0,"3,000","4,000",0,0,0,0,0,0
,PKS000016-329,Outdoor Recreation Centres,Earl Bales Fieldhouse Upgrade Design,150,300,0,0,0,0,0,0,0,0
,PKS000017-699,Park Development,Ward 10 Park Improvements - S42,300,0,0,0,0,0,0,0,0,0
,PKS000017-700,Park Development,Hidden Trail Park Improvements - S42,350,0,0,0,0,0,0,0,0,0
,FAC906395-855,Mechanical and Electrical,5700 Bathurst-Elevator Modernization,8,134,0,0,0,0,0,0,0,0
,York Centr-10 Total,,,808,536,"3,043","4,207",0,0,191,595,"1,450",846
11,York South-Weston-11,,,,,,,,,,,,
,CHS907355-1,St. John The Evangelist Catholic School,St. John The Evangelist Catholic School,55,106,126,62,41,0,0,0,0,0
,LIB000165-1,Weston Neighbourhood Library Renovation,Weston Neighbourhood Library Renovation,0,0,0,0,129,0,287,0,169,0
,TRN907839-1,St Clair West/Metrolinx Georgetown Grade Separatio,St Clair West/Metrolinx Georgetown,0,"2,000","6,000","12,000","12,000",0,0,0,0,0
,PKS000017-736,Park Development,Swanek Park Improvements - S37,125,0,0,0,0,0,0,0,0,0
,TPA907793-2,Weston Cultural Hub S2,Weston Cultural Hub 2014,500,0,0,0,0,0,0,0,0,0
,FAC906394-339,Structural/Building Envelope,662 Jane-RplWindows&FrontEntrance,0,11,100,0,0,0,0,0,0,0
,PKS000019-300,Playgrounds/Waterplay,Viella Tarragon Park Waterplay - S37,550,0,0,0,0,0,0,0,0,0
,ACH000010-76,Cultural Infrastructure Development,Public Art Development Viella Tarragona,120,100,0,0,0,0,0,0,0,0
,TRN000191-3,Scarlett/St Clair/Dundas,Scarlett/St Clair/Dundas - 2014 & Future,"1,650","1,850",0,0,0,0,0,0,0,0
,FAC906395-901,Mechanical and Electrical,6 Lambton Ave-Replace Rooftop HVAC Units,0,0,0,0,0,0,0,0,0,11
,York South-Weston-11 Total,,,"3,000","4,067","6,226","12,062","12,170",0,287,0,169,11
12,York South-Weston-12,,,,,,,,,,,,
,FAC906395-73,Mechanical and Electrical,"1652 Keele-Rpl Boilers, Pumps, Pipes",0,0,0,0,0,31,595,0,0,0
,FAC906397-199,Renovations,2700 Eglinton W- Council Chamber Carpeting,0,0,0,0,0,0,0,0,0,12
,PKS000016-49,Outdoor Recreation Centres,Keelesdale Park - Build New Basketball Facility^,0,25,475,0,0,0,0,0,0,0
,PKS000017-85,Park Development,Keelesdale Park - Rebuild Stairs/Path/N.Sporting^,0,25,250,0,0,0,0,0,0,0
,PKS023   -266,Community Centres,York Community Centre - TRCA requirement,"3,000",0,0,0,0,0,0,0,0,0
,PKS023   -302,Community Centres,York CC Site Work & Furniture,"1,900",0,0,0,0,0,0,0,0,0
,FAC906393-106,Re-roofing,2050 JANE-Re-roofing & Ceiling,0,0,0,0,0,0,0,0,47,"1,313"
,FAC906394-324,Structural/Building Envelope,2696 Eglinton W-VarStructArchMechSOGRProjects,0,0,0,0,0,0,0,0,37,699
,FAC906393-105,Re-roofing,2050 JANE-Pavement & Roofing,0,0,0,0,0,0,0,0,76,"1,824"
,FAC906394-325,Structural/Building Envelope,2696 Eglinton -Building Envelope & Mech SOGR Proje,0,0,0,0,0,0,0,0,0,21
,FAC906395-872,Mechanical and Electrical,2050 JANE-Rpl Central UPS System,0,0,0,0,0,22,192,0,0,0
,York South-Weston-12 Total,,,"4,900",50,725,0,0,53,787,0,160,"3,869"
13,Parkdale-High Park-13,,,,,,,,,,,,
,ACH000011-35,Service Enhancement,Colborne Lodge Coach House,50,0,0,0,0,0,0,0,0,0
,ACH000012-104,Restoration/Preservation of Heritage Elements,Colborne Lodge - Restoration - FY,0,0,0,0,0,0,0,100,150,0
,FAC906394-223,Structural/Building Envelope,"462 Runnymede-Structural Rehabilitation,Waterproof",11,0,0,0,0,0,0,0,0,0
,FAC906395-82,Mechanical and Electrical,358 Keele- Rpl heating boilers ,0,0,0,106,0,0,0,0,0,0
,FAC906395-87,Mechanical and Electrical,83 Deforest Rd-Rpl of Gas-Fired Heater,0,0,0,12,0,0,0,0,0,0
,FAC906396-41,Sitework,590 Jane Street-Asphalt Pavement Replac,0,27,207,0,0,0,0,0,0,0
,FAC906397-60,Renovations,95 Lavinia Ave-Rpl of Laminate Cabinets,0,0,0,0,6,104,0,0,0,0
,PKS000017-26,Park Development,Beresford Park - Build Washroom Facility^,0,0,0,25,250,0,0,0,0,0
,TPA000010-2,Expanded Facilities - Bloor St. W (Glend/Durie),Expanded facilities - Bloor St. W (Glend/Durie),0,0,0,"2,500",0,0,0,0,0,0
,TRN077   -1,Dufferin Street Jog Elimination,CN & Expropriations 2013-2014,"2,000",0,0,0,0,0,0,0,0,0
,FAC906396-144,Sitework, 9 Clendenan Ave - Various Projects,0,0,0,0,0,0,0,0,0,9
,TPA907980-1,CP 64 Repaving and Lighting Upgrade,cp 64 Repaving and Lighting Upgrade,350,0,0,0,0,0,0,0,0,0
,PKS000017-680,Park Development,Rennie Park Lights - S42,275,0,0,0,0,0,0,0,0,0
,PKS000019-293,Playgrounds/Waterplay,High Park Waterplay - S42,40,500,0,0,0,0,0,0,0,0
,FAC906393-126,Re-roofing,95 Lavinia-Rpl Flat Roof,0,10,227,0,0,0,0,0,0,0
,FAC906397-292,Renovations,9 Clendenan-Renovations,0,0,0,0,0,0,0,0,0,145
,ECT907932-1,Baby Point Gate,Baby Point Gate,25,0,0,0,0,0,0,0,0,0
,PKS000019-294,Playgrounds/Waterplay,Willard Gardens Parkette Playground - S42,125,0,0,0,0,0,0,0,0,0
,PKS000017-679,Park Development,Traymore Park Improvements - S37/S42,50,400,0,0,0,0,0,0,0,0
,PKS000019-295,Playgrounds/Waterplay,Maria Street Parkette Playground - S42,125,0,0,0,0,0,0,0,0,0
,Parkdale-High Park-13 Total,,,"3,051",937,434,"2,643",256,104,0,100,150,154
14,Parkdale-High Park-14,,,,,,,,,,,,
,FAC906397-104,Renovations,1288 Queen St.W-Reno Washrooms & Kitchen,0,0,0,0,0,0,0,10,96,0
,PKS000017-630,Park Development,Wabash Patio - Donation,350,0,0,0,0,0,0,0,0,0
,PKS023   -290,Community Centres,40 Wabash Parkdale New CC (RFR#7) - Design,0,0,0,0,0,161,0,0,0,0
,TPA906715-1,Roncesvalles South (1624 Queen St. W),Roncesvalles South 2014,200,0,0,0,0,0,0,0,0,0
,TPA907477-1,Roncesvalles North,Roncesvalle North,0,0,0,0,0,0,0,0,0,"2,000"
,FAC906395-864,Mechanical and Electrical, 1288 Queen W -Domestic Hot Water Heater,0,0,0,0,0,0,0,0,0,9
,PKS000017-711,Park Development,West Lodge Improvements - S42,300,0,0,0,0,0,0,0,0,0
,TRN907837-1,King Liberty Cycling Pedestrian Bridge,King Liberty Cycling Pedestrian Bridge,0,"6,000",0,0,0,0,0,0,0,0
,PKS000017-712,Park Development,Ward 14 Park Improvements  - S42,100,0,0,0,0,0,0,0,0,0
,PKS000017-708,Park Development,Dufferin Park Expansion - S42,350,0,0,0,0,0,0,0,0,0
,Parkdale-High Park-14 Total,,,"1,300","6,000",0,0,0,161,0,10,96,"2,009"
15,Eglinton-Lawrence-15,,,,,,,,,,,,
,FAC906395-110,Mechanical and Electrical,524 Oakwood Ave-Rpl Five Rooftop Units,0,0,0,46,548,0,0,0,0,0
,FAC906395-115,Mechanical and Electrical,555 Oakwood Ave-Replace Rooftop HVAC Units,0,0,0,7,82,0,0,0,0,0
,FAC906395-588,Mechanical and Electrical,1115 Caledonia Rd-Repl Window & Elec Sys,0,0,11,63,0,0,0,0,0,0
,FAC906396-9,Sitework,"1135 Caledonia - Roofing, Asphalt, Sidewalks",0,0,0,15,92,55,0,0,0,0
,FAC906397-27,Renovations,1135 Caledonia - Repl Flooring & Reno WR,0,0,0,138,0,0,0,0,0,0
,PKS000017-637,Park Development,Lawrence Heights Plan Park,0,75,610,0,0,0,0,0,0,0
,PKS000017-657,Park Development,Lawrence Heights Ph1b-Greenway,0,0,0,45,1,0,0,0,0,0
,PKS000017-658,Park Development,Lawrence Heights Ph1a-Baycrest,0,150,"1,361",0,0,0,0,0,0,0
,PKS000017-659,Park Development,Lawrence Heights Ph1f-Local Neighbourhood Pk,0,0,0,0,90,82,0,0,0,0
,PKS023   -296,Community Centres,Lawrence Heights New CC - Design,0,0,0,0,0,0,0,0,"1,800",0
,PKS000017-744,Park Development,Dane Park Design,100,0,0,0,0,0,0,0,0,0
,TPA907961-1,"Oakwood, E. of Eglinton (#2)","Oakwood, E. of Eglinton (#2)",750,0,0,0,0,0,0,0,0,0
,PKS000017-704,Park Development,Bathurst Corridor Parks - S42,500,0,0,0,0,0,0,0,0,0
,PKS000017-745,Park Development,Dane Park Construction,0,800,0,0,0,0,0,0,0,0
,FAC906393-104,Re-roofing,1401 CASTLEFIELD-Modified Bitumen Roof Replacement,0,0,0,0,16,91,0,0,0,0
,PKS000017-703,Park Development,Ward 15 Parks Improvements - S42,269,0,0,0,0,0,0,0,0,0
,Eglinton-Lawrence-15 Total,,,"1,619","1,025","1,982",314,829,228,0,0,"1,800",0
16,Eglinton-Lawrence-16,,,,,,,,,,,,
,ACH000015-15,Collections Care,Cultural Assets Storage Workshop - FY,0,0,0,0,247,0,0,0,0,0
,FAC906393-94,Re-roofing,16 Montgomery Ave-RPL Roof,0,6,103,0,0,0,0,0,0,0
,FAC906394-277,Structural/Building Envelope,16 Montgomery -Basement Walls - Washroom,248,0,0,0,0,0,0,0,0,0
,FAC906395-606,Mechanical and Electrical,16 Montgomery-RPL Lighting & Power Dist,0,11,36,0,0,0,0,0,0,0
,LIB907692-1,Northern District Renovation,Northern District Renovation,0,0,0,0,0,150,0,0,0,570
,TPA907610-1,"Avenue, N. of Lawrence","Avenue, N. of Lawrence",0,0,0,0,0,0,0,0,0,"2,500"
,TPA907875-1,Yonge/ York Mills,Yonge/ York Mills,0,0,0,0,0,"14,500",0,0,0,0
,PKS000017-673,Park Development,Woburn Park Improvements - S42,300,0,0,0,0,0,0,0,0,0
,PKS000017-674,Park Development,Snider Parkette Improvements - S42,250,0,0,0,0,0,0,0,0,0
,TPA907959-1,Redevelopment of CP 411 (Roe Avenue),Redevelopment of CP 411 (Roe Avenue),"2,500",0,0,0,0,0,0,0,0,0
,Eglinton-Lawrence-16 Total,,,"3,298",17,139,0,247,"14,650",0,0,0,"3,070"
17,Davenport-17,,,,,,,,,,,,
,FAC906397-14,Renovations,"100 Turnberry-Rpl Paving,Floor,Painting,CeilingTil",9,124,0,0,0,0,0,0,0,0
,FAC906397-73,Renovations,100 Turnberry Ave - Renovate Washrooms,0,0,0,0,0,6,76,0,0,0
,LIB000337-1,St. Clair/Silverthorn Neighbourhood Library ,St. Clair/Silverthorn Neighbourhood Library Renova,0,130,0,0,0,0,0,0,0,0
